,p,q,11,10,01,00
224,p = 0.00,", q = 0.04",1,1,1,0
225,p = 0.00,", q = 0.05",1,1,1,0
226,p = 0.00,", q = 0.06",1,1,1,0
227,p = 0.00,", q = 0.07",1,1,1,0
228,p = 0.00,", q = 0.08",1,1,1,0
239,p = 0.01,", q = -0.02",1,1,1,0
240,p = 0.01,", q = -0.01",1,1,1,0
241,p = 0.01,", q = 0.00",1,1,1,0
242,p = 0.01,", q = 0.01",1,1,1,0
243,p = 0.01,", q = 0.02",1,1,1,0
244,p = 0.01,", q = 0.03",1,1,1,0
245,p = 0.01,", q = 0.04",1,1,1,0
246,p = 0.01,", q = 0.05",1,1,1,0
247,p = 0.01,", q = 0.06",1,1,1,0
248,p = 0.01,", q = 0.07",1,1,1,0
257,p = 0.02,", q = -0.05",1,1,1,0
258,p = 0.02,", q = -0.04",1,1,1,0
259,p = 0.02,", q = -0.03",1,1,1,0
260,p = 0.02,", q = -0.02",1,1,1,0
261,p = 0.02,", q = -0.01",1,1,1,0
262,p = 0.02,", q = 0.00",1,1,1,0
263,p = 0.02,", q = 0.01",1,1,1,0
264,p = 0.02,", q = 0.02",1,1,1,0
265,p = 0.02,", q = 0.03",1,1,1,0
266,p = 0.02,", q = 0.04",1,1,1,0
267,p = 0.02,", q = 0.05",1,1,1,0
268,p = 0.02,", q = 0.06",1,1,1,0
275,p = 0.03,", q = -0.08",1,1,1,0
276,p = 0.03,", q = -0.07",1,1,1,0
277,p = 0.03,", q = -0.06",1,1,1,0
278,p = 0.03,", q = -0.05",1,1,1,0
279,p = 0.03,", q = -0.04",1,1,1,0
280,p = 0.03,", q = -0.03",1,1,1,0
281,p = 0.03,", q = -0.02",1,1,1,0
282,p = 0.03,", q = -0.01",1,1,1,0
283,p = 0.03,", q = 0.00",1,1,1,0
284,p = 0.03,", q = 0.01",1,1,1,0
285,p = 0.03,", q = 0.02",1,1,1,0
286,p = 0.03,", q = 0.03",1,1,1,0
